court_d,prep_h,charge
34,301,Other
39,301,Other
16,302,Other
23,302,Other
46,302,Other
15,303,Other
17,303,Other
38,303,Other
16,304,Other
30,304,Other
42,304,Other
15,305,Other
17,305,Other
35,305,Other
16,306,Other
17,306,Other
37,306,Other
17,307,Other
36,307,Other
18,308,Other
44,308,Other
19,309,Other
35,309,Other
25,310,Other
28,310,Other
37,314,Other
18,315,Other
30,315,Other
35,315,Other
43,315,Other
19,316,Other
20,316,Other
42,316,Other
47,316,Other
18,317,Other
23,317,Other
28,317,Other
35,317,Other
24,318,Other
35,318,Other
47,318,Other
16,319,Other
24,319,Other
33,319,Other
17,320,Other
19,320,Other
23,320,Other
25,320,Other
25,320,Other
40,320,Other
18,305,Other
18,306,Other
22,307,Other
22,308,Other
24,309,Other
25,300,Other
26,305,Other
21,310,Other
24,305,Other
25,308,Other
27,309,Other
27,322,Other
33,322,Other
40,322,Other
25,323,Other
27,323,Other
40,323,Other
45,323,Other
23,324,Other
25,324,Other
45,324,Other
17,325,Other
18,325,Other
30,325,Other
53,325,Other
25,326,Other
25,328,Other
40,328,Other
58,328,Other
21,329,Other
24,329,Other
34,329,Other
39,329,Other
19,330,Other
23,330,Other
25,330,Other
57,330,Other
30,331,Other
28,332,Other
40,332,Other
60,332,Other
26,333,Other
30,333,Other
35,333,Other
22,334,Other
27,334,Other
53,335,Other
58,335,Other
30,336,Other
50,339,Other
55,339,Other
30,340,Other
35,340,Other
51,340,Other
25,341,Other
30,341,Other
56,341,Other
30,342,Other
32,342,Other
58,342,Other
30,343,Other
35,343,Other
53,343,Other
30,344,Other
40,344,Other
48,344,Other
31,345,Other
56,345,Other
57,345,Other
36,346,Other
57,346,Other
58,346,Other
58,347,Other
25,348,Other
40,349,Other
60,350,Other
52,351,Other
52,352,Other
56,353,Other
57,354,Other
54,355,Other
48,356,Other
23,357,Other
28,358,Other
53,359,Other
43,360,Other
60,360,Other
60,364,Other
35,367,Other
51,367,Other
48,368,Other
53,368,Other
51,369,Other
56,369,Other
50,370,Other
53,370,Other
43,371,Other
58,371,Other
49,378,Other
53,379,Other
47,380,Other
51,380,Other
60,380,Other
58,386,Other
53,388,Other
40,390,Other
56,390,Other
60,390,Other
28,395,Other
29,396,Other
33,397,Other
41,403,Other
42,403,Other
49,404,Other
42,405,Other
58,405,Other
42,410,Other
54,420,Other
60,410,Other
44,412,Other
51,414,Other
52,416,Other
60,418,Other
46,420,Other
49,433,Other
52,439,Other
47,441,Other
51,441,Other
35,450,Other
50,450,Other
34,455,Other
40,457,Other
44,457,Other
44,460,Other
41,462,Other
45,462,Other
58,380,Other
43,381,Other
51,430,Other
60,465,Other
46,470,Other
60,502,Other
51,410,Other
58,516,Other
3,110,Robbery
12,111,Robbery
3,112,Robbery
13,121,Robbery
2,130,Robbery
1,140,Robbery
14,148,Robbery
2,150,Robbery
1,156,Robbery
8,160,Robbery
3,160,Robbery
17,165,Robbery
6,170,Robbery
6,170,Robbery
15,175,Robbery
2,175,Robbery
1,175,Robbery
20,180,Robbery
12,182,Robbery
4,184,Robbery
3,185,Robbery
5,196,Robbery
1,197,Robbery
1,197,Robbery
2,198,Robbery
10,198,Robbery
1,199,Robbery
5,199,Robbery
5,206,Robbery
19,207,Robbery
7,213,Robbery
6,213,Robbery
38,213,Robbery
1,214,Robbery
3,215,Robbery
14,220,Robbery
9,221,Robbery
5,221,Robbery
12,221,Robbery
12,221,Robbery
31,222,Robbery
24,222,Robbery
26,223,Robbery
13,225,Robbery
20,225,Robbery
4,225,Robbery
18,225,Robbery
7,225,Robbery
16,225,Robbery
18,230,Robbery
30,231,Robbery
21,231,Robbery
10,232,Robbery
38,232,Robbery
18,233,Robbery
27,236,Robbery
11,236,Robbery
27,236,Robbery
9,237,Robbery
20,237,Robbery
38,237,Robbery
11,238,Robbery
27,238,Robbery
19,239,Robbery
24,239,Robbery
34,240,Robbery
45,240,Robbery
19,240,Robbery
5,241,Robbery
22,242,Robbery
14,244,Robbery
5,244,Robbery
13,245,Robbery
51,245,Robbery
6,245,Robbery
9,245,Robbery
15,245,Robbery
4,245,Robbery
11,246,Robbery
6,246,Robbery
28,246,Robbery
27,246,Robbery
16,247,Robbery
17,248,Robbery
37,248,Robbery
48,249,Robbery
20,250,Robbery
21,250,Robbery
15,250,Robbery
4,251,Robbery
16,251,Robbery
8,252,Robbery
38,252,Robbery
19,253,Robbery
8,253,Robbery
49,254,Robbery
20,255,Robbery
49,256,Robbery
5,256,Robbery
56,256,Robbery
39,257,Robbery
14,257,Robbery
42,258,Robbery
8,258,Robbery
5,259,Robbery
8,259,Robbery
35,259,Robbery
22,260,Robbery
59,260,Robbery
5,261,Robbery
5,261,Robbery
13,261,Robbery
8,261,Robbery
4,262,Robbery
52,262.25,Robbery
52,263,Robbery
21,264,Robbery
8,264,Robbery
60,264,Robbery
47,265,Robbery
26,265,Robbery
50,265,Robbery
13,265,Robbery
36,265,Robbery
7,266,Robbery
28,266,Robbery
16,267,Robbery
12,268,Robbery
32,269,Robbery
20,269,Robbery
60,269,Robbery
14,270,Robbery
8,270,Robbery
6,270,Robbery
59,270,Robbery
47,271,Robbery
22,271,Robbery
24,271,Robbery
31,272,Robbery
40,272,Robbery
15,272,Robbery
24,273,Robbery
54,273,Robbery
8,273,Robbery
58,275,Robbery
30,276,Robbery
6,276,Robbery
21,276,Robbery
46,276,Robbery
6,277,Robbery
56,277,Robbery
16,278,Robbery
53,278,Robbery
49,278,Robbery
30,278,Robbery
56,279,Robbery
51,279,Robbery
16,279,Robbery
13,279,Robbery
27,280,Robbery
8,280,Robbery
38,280.26,Robbery
15,281,Robbery
37,281,Robbery
7,282,Robbery
10,284,Robbery
20,285,Robbery
60,285,Robbery
35,285,Robbery
35,285,Robbery
6,285,Robbery
28,285,Robbery
16,286,Robbery
59,286,Robbery
30,286,Robbery
11,286,Robbery
18,286,Robbery
59,287,Robbery
21,288,Robbery
52,288,Robbery
26,288,Robbery
12,288,Robbery
28,289,Robbery
16,289,Robbery
14,289,Robbery
12,289,Robbery
50,289,Robbery
20,289,Robbery
52,290,Robbery
40,290,Robbery
18,294,Robbery
28,294,Robbery
12,295,Robbery
30,295,Robbery
38,295,Robbery
28,295,Robbery
58,295,Robbery
28,296,Robbery
52,297,Robbery
56,297,Robbery
11,298,Robbery
16,299,Robbery
27,300,Robbery
29,300,Robbery
23,302,Robbery
19,302,Robbery
52,302,Robbery
29,303,Robbery
50,303,Robbery
22,304,Robbery
19,305,Robbery
44,305,Robbery
46,305,Robbery
57,306,Robbery
24,307,Robbery
54,308,Robbery
32,308,Robbery
16,308,Robbery
58,309,Robbery
11,309,Robbery
31,310,Robbery
50,310,Robbery
32,311,Robbery
14,312,Robbery
60,313,Robbery
56,313,Robbery
25,314,Robbery
33,315,Robbery
16,316,Robbery
22,317,Robbery
25,318,Robbery
59,319,Robbery
57,320,Robbery
50,320,Robbery
60,321,Robbery
19,323,Robbery
55,325,Robbery
60,326,Robbery
56,327,Robbery
31,328,Robbery
60,328,Robbery
16,328,Robbery
17,329,Robbery
43,332,Robbery
55,333,Robbery
30,334,Robbery
16,335,Robbery
40,336,Robbery
28,337,Robbery
42,340,Robbery
33,340,Robbery
40,340,Robbery
50,341,Robbery
25,345,Robbery
21,347,Robbery
49,348,Robbery
60,349,Robbery
45,350,Robbery
49,353,Robbery
49,354,Robbery
55,355,Robbery
45,356,Robbery
34,360,Robbery
50,361,Robbery
22,362,Robbery
60,365,Robbery
40,370,Robbery
57,371,Robbery
44,376,Robbery
57,377,Robbery
32,378,Robbery
34,389,Robbery
32,390,Robbery
35,393,Robbery
36,393,Robbery
55,399,Robbery
52,399,Robbery
54,404,Robbery
60,412,Robbery
53,414,Robbery
55,415,Robbery
45,418,Robbery
54,433,Robbery
48,441,Robbery
55,443,Robbery
58,452,Robbery
45,453,Robbery
57,453,Robbery
48,461,Robbery
